id,left,top,right,bottom,calc_mean
"178",-12556.0775606939,6715148.54166601,-12382.872479937,6714998.54166601,0.00694431496039842
"179",-12556.0775606939,6714998.54166601,-12382.872479937,6714848.54166601,0.00712444135362503
"180",-12556.0775606939,6714848.54166601,-12382.872479937,6714698.54166601,0.01171671318806
"181",-12556.0775606939,6714698.54166601,-12382.872479937,6714548.54166601,0.0161569083682584
"182",-12556.0775606939,6714548.54166601,-12382.872479937,6714398.54166601,0.00206978195065937
"183",-12426.1737501263,6716423.54166601,-12252.9686693694,6716273.54166601,0.0105420178197598
"184",-12426.1737501263,6716273.54166601,-12252.9686693694,6716123.54166601,0.00635996139409596
"185",-12426.1737501263,6716123.54166601,-12252.9686693694,6715973.54166601,0.00457618551143596
"186",-12426.1737501263,6715973.54166601,-12252.9686693694,6715823.54166601,0.00691956934951549
"187",-12426.1737501263,6715823.54166601,-12252.9686693694,6715673.54166601,0.00541076565596271
"188",-12426.1737501263,6715673.54166601,-12252.9686693694,6715523.54166601,0.00349327500303694
"189",-12426.1737501263,6715523.54166601,-12252.9686693694,6715373.54166601,0.00404396156844466
"190",-12426.1737501263,6715373.54166601,-12252.9686693694,6715223.54166601,0.00509460169838313
"191",-12426.1737501263,6715223.54166601,-12252.9686693694,6715073.54166601,0.00514254352231119
"192",-12426.1737501263,6715073.54166601,-12252.9686693694,6714923.54166601,0.00303316262192778
"193",-12426.1737501263,6714923.54166601,-12252.9686693694,6714773.54166601,0.00786092409770438
"194",-12426.1737501263,6714773.54166601,-12252.9686693694,6714623.54166601,0.00623227086957024
"195",-12426.1737501263,6714623.54166601,-12252.9686693694,6714473.54166601,0.00340847037495193
"196",-12426.1737501263,6714473.54166601,-12252.9686693694,6714323.54166601,0.000522153403721859
"197",-12296.2699395586,6716498.54166601,-12123.0648588017,6716348.54166601,0.0067336451468622
"198",-12296.2699395586,6716348.54166601,-12123.0648588017,6716198.54166601,0.00816433723151633
"199",-12296.2699395586,6716198.54166601,-12123.0648588017,6716048.54166601,0.00470717629908503
"200",-12296.2699395586,6716048.54166601,-12123.0648588017,6715898.54166601,0.00746545583147384
"201",-12296.2699395586,6715898.54166601,-12123.0648588017,6715748.54166601,0.00361876982315779
"202",-12296.2699395586,6715748.54166601,-12123.0648588017,6715598.54166601,0.0043192379825756
"203",-12296.2699395586,6715598.54166601,-12123.0648588017,6715448.54166601,0.00394121221764325
"204",-12296.2699395586,6715448.54166601,-12123.0648588017,6715298.54166601,0.0049470741137893
"205",-12296.2699395586,6715298.54166601,-12123.0648588017,6715148.54166601,0.00573207920863258
"206",-12296.2699395586,6715148.54166601,-12123.0648588017,6714998.54166601,0.00322071293834029
"207",-12296.2699395586,6714998.54166601,-12123.0648588017,6714848.54166601,0.00331268715485548
"208",-12296.2699395586,6714848.54166601,-12123.0648588017,6714698.54166601,0.00852534075285718
"209",-12296.2699395586,6714698.54166601,-12123.0648588017,6714548.54166601,0.00464150229901719
"210",-12296.2699395586,6714548.54166601,-12123.0648588017,6714398.54166601,0.00314803763586127
